PO #,PO #,Description,Vendor,Organization,Department,Buyer,Status,Sent Date,Total
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-20550&releaseNbr=118&external=true&parentUrl=close,PO #99SWC-NV24-20550:118,06-13-2025 McKesson Stock,McKesson Medical-Surgical Government Solutions LLC,Department of Human Services,Public and Behavioral Health,John Salvador,3PS - Sent,06/13/2025,"$4,991.07"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-20550&releaseNbr=119&external=true&parentUrl=close,PO #99SWC-NV24-20550:119,06-12-2025 McKesson Vitros LAB,McKesson Medical-Surgical Government Solutions LLC,Department of Human Services,Public and Behavioral Health,John Salvador,3PS - Sent,06/13/2025,"$2,478.44"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-20550&releaseNbr=120&external=true&parentUrl=close,PO #99SWC-NV24-20550:120,06-13-2025 McKesson Nail Clippers,McKesson Medical-Surgical Government Solutions LLC,Department of Human Services,Public and Behavioral Health,John Salvador,3PS - Sent,06/13/2025,$380.16
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-20550&releaseNbr=121&external=true&parentUrl=close,PO #99SWC-NV24-20550:121,06-17-2025 McKesson Shop 6,McKesson Medical-Surgical Government Solutions LLC,Department of Human Services,Public and Behavioral Health,John Salvador,3PS - Sent,06/17/2025,"$1,483.10"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-20550&releaseNbr=122&external=true&parentUrl=close,PO #99SWC-NV24-20550:122,06-18-2025 McKesson AccuChek,McKesson Medical-Surgical Government Solutions LLC,Department of Human Services,Public and Behavioral Health,John Salvador,3PS - Sent,06/18/2025,"$5,822.92"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-20550&releaseNbr=123&external=true&parentUrl=close,PO #99SWC-NV24-20550:123,06-18-2025 McKesson LAB Vitros,McKesson Medical-Surgical Government Solutions LLC,Department of Human Services,Public and Behavioral Health,John Salvador,3PS - Sent,06/18/2025,$514.38
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-20550&releaseNbr=124&external=true&parentUrl=close,PO #99SWC-NV24-20550:124,06-18-2025 McKesson LAB Abbott,McKesson Medical-Surgical Government Solutions LLC,Department of Human Services,Public and Behavioral Health,John Salvador,3PS - Sent,06/18/2025,"$3,176.10"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-20550&releaseNbr=125&external=true&parentUrl=close,PO #99SWC-NV24-20550:125,06-23-2025 McKesson Stock,McKesson Medical-Surgical Government Solutions LLC,Department of Human Services,Public and Behavioral Health,John Salvador,3PS - Sent,06/23/2025,"$1,574.10"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-20550&releaseNbr=126&external=true&parentUrl=close,PO #99SWC-NV24-20550:126,Bridgette Washington Blood Sugar Monitoring Supplies,McKesson Medical-Surgical Government Solutions LLC,Department of Human Services,Aging and Disability Services Division,Martha Rivera,3PCR - Complete Receipt,06/23/2025,$205.80
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-20550&releaseNbr=127&external=true&parentUrl=close,PO #99SWC-NV24-20550:127,6-24-25 McKesson MDPro Vital sign accessories,McKesson Medical-Surgical Government Solutions LLC,Department of Human Services,Public and Behavioral Health,Matthew Laruccia,3PS - Sent,06/24/2025,$960.64
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-20550&releaseNbr=128&external=true&parentUrl=close,PO #99SWC-NV24-20550:128,"Becker, L 1302 N Glytactin",McKesson Medical-Surgical Government Solutions LLC,Department of Human Services,Aging and Disability Services Division,Irma Dominguez,3PCR - Complete Receipt,06/25/2025,"$5,613.40"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-20550&releaseNbr=129&external=true&parentUrl=close,PO #99SWC-NV24-20550:129,06-27-2025 McKesson LAB,McKesson Medical-Surgical Government Solutions LLC,Department of Human Services,Public and Behavioral Health,John Salvador,3PS - Sent,06/27/2025,"$1,303.00"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-20550&releaseNbr=130&external=true&parentUrl=close,PO #99SWC-NV24-20550:130,06-27-2025 McKesson Stock,McKesson Medical-Surgical Government Solutions LLC,Department of Human Services,Public and Behavioral Health,John Salvador,3PS - Sent,06/27/2025,"$4,935.56"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-20550&releaseNbr=131&external=true&parentUrl=close,PO #99SWC-NV24-20550:131,06-30-2025 McKesson LAB,McKesson Medical-Surgical Government Solutions LLC,Department of Human Services,Public and Behavioral Health,John Salvador,3PS - Sent,06/30/2025,$316.50
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-20550&releaseNbr=132&external=true&parentUrl=close,PO #99SWC-NV24-20550:132,7-7-25 McKesson Yankaurers Suction machine,McKesson Medical-Surgical Government Solutions LLC,Department of Human Services,Public and Behavioral Health,Matthew Laruccia,3PS - Sent,07/07/2025,$28.33
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-20550&releaseNbr=133&external=true&parentUrl=close,PO #99SWC-NV24-20550:133,7/7/25 McKesson Rawson Neal Mattresses,McKesson Medical-Surgical Government Solutions LLC,Department of Human Services,Public and Behavioral Health,Matthew Laruccia,3PS - Sent,07/08/2025,"$4,260.75"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-20550&releaseNbr=134&external=true&parentUrl=close,PO #99SWC-NV24-20550:134,7-7-25 Mckesson ICT Module Lab,McKesson Medical-Surgical Government Solutions LLC,Department of Human Services,Public and Behavioral Health,Matthew Laruccia,3PS - Sent,07/08/2025,"$4,416.90"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-20550&releaseNbr=135&external=true&parentUrl=close,PO #99SWC-NV24-20550:135,7-7-25 Mckesson Vitros Reagent Lab,McKesson Medical-Surgical Government Solutions LLC,Department of Human Services,Public and Behavioral Health,Matthew Laruccia,3PS - Sent,07/08/2025,"$1,131.52"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-20550&releaseNbr=136&external=true&parentUrl=close,PO #99SWC-NV24-20550:136,07-10-2025 McKesson LAB,McKesson Medical-Surgical Government Solutions LLC,Department of Human Services,Public and Behavioral Health,John Salvador,3PS - Sent,07/10/2025,"$2,535.31"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-20550&releaseNbr=137&external=true&parentUrl=close,PO #99SWC-NV24-20550:137,07-11-2025 McKesson Stock,McKesson Medical-Surgical Government Solutions LLC,Department of Human Services,Public and Behavioral Health,John Salvador,3PS - Sent,07/11/2025,"$2,916.28"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-20550&releaseNbr=138&external=true&parentUrl=close,PO #99SWC-NV24-20550:138,07-14-2025 McKesson Stock,McKesson Medical-Surgical Government Solutions LLC,Department of Human Services,Public and Behavioral Health,John Salvador,3PS - Sent,07/14/2025,"$1,558.06"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-20550&releaseNbr=139&external=true&parentUrl=close,PO #99SWC-NV24-20550:139,07-16-2025 McKesson LAB,McKesson Medical-Surgical Government Solutions LLC,Department of Human Services,Public and Behavioral Health,John Salvador,3PS - Sent,07/16/2025,"$2,395.73"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-20550&releaseNbr=140&external=true&parentUrl=close,PO #99SWC-NV24-20550:140,07-22-2025 McKesson Shop 6,McKesson Medical-Surgical Government Solutions LLC,Department of Human Services,Public and Behavioral Health,John Salvador,3PS - Sent,07/22/2025,"$2,221.20"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-20550&releaseNbr=141&external=true&parentUrl=close,PO #99SWC-NV24-20550:141,07-23-2025 McKesson Stock,McKesson Medical-Surgical Government Solutions LLC,Department of Human Services,Public and Behavioral Health,John Salvador,3PS - Sent,07/23/2025,"$3,372.52"
