PO #,PO #,Description,Vendor,Organization,Department,Buyer,Status,Sent Date,Total
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4378&external=true&parentUrl=close,99SWC-NV23-15341:4378,G2B From Staples Advantage,Staples Advantage,Colorado River Commission,Colorado River Commission,Gina Goodman,3PS - Sent,06/14/2024,$244.03
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4379&external=true&parentUrl=close,99SWC-NV23-15341:4379,G2B From Staples Advantage,Staples Advantage,Department of Public Safety,Nevada Highway Patrol,Lorena Fee,3PS - Sent,06/14/2024,"$2,399.85"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4380&external=true&parentUrl=close,99SWC-NV23-15341:4380,06-14-2024 Staples Stock,Staples Advantage,Department of Human Services,Public and Behavioral Health,John Salvador,3PS - Sent,06/15/2024,$698.79
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4381&external=true&parentUrl=close,99SWC-NV23-15341:4381,06-16-2024 Staples Purell,Staples Advantage,Department of Human Services,Public and Behavioral Health,John Salvador,3PS - Sent,06/17/2024,$438.27
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4382&external=true&parentUrl=close,99SWC-NV23-15341:4382,G2B From Staples Advantage,Staples Advantage,Department of Human Services,Division of Child and Family Services,Joseline Avila,3PS - Sent,06/17/2024,$266.48
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4383&external=true&parentUrl=close,99SWC-NV23-15341:4383,Gen Supply - CC,Staples Advantage,Department of Business and Industry,Business and Industry,Emily Cervi,3PCR - Complete Receipt,06/17/2024,$128.92
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4384&external=true&parentUrl=close,99SWC-NV23-15341:4384,June order #1,Staples Advantage,Department of Business and Industry,Business and Industry,Liliana Gutierrez,3PCR - Complete Receipt,06/17/2024,$363.51
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4385&external=true&parentUrl=close,99SWC-NV23-15341:4385,G2B From Staples Advantage,Staples Advantage,Department of Human Services,Social Services,Consolacion Garcia,3PCR - Complete Receipt,06/17/2024,$437.00
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4386&external=true&parentUrl=close,99SWC-NV23-15341:4386,G2B From Staples Advantage,Staples Advantage,Department of Human Services,Social Services,Annalee DeGaetano,3PCO - Closed,06/17/2024,$853.15
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4387&external=true&parentUrl=close,99SWC-NV23-15341:4387,Child Care Fiscal,Staples Advantage,Department of Human Services,Social Services,Gabriela Fernandez,3PCO - Closed,06/17/2024,$453.27
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4388&external=true&parentUrl=close,99SWC-NV23-15341:4388,Staples_Office chair_Legal LV,Staples Advantage,Department of Business and Industry,Division of Industrial Relations,Rosalind Jenkins,3PCR - Complete Receipt,06/17/2024,$138.00
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4389&external=true&parentUrl=close,99SWC-NV23-15341:4389,Staples chair for Barbara T,Staples Advantage,Department of Business and Industry,Division of Industrial Relations,Barbara Takeda,3PCR - Complete Receipt,06/17/2024,$169.99
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4390&external=true&parentUrl=close,99SWC-NV23-15341:4390,G2B From Staples Advantage,Staples Advantage,Department of Business and Industry,Division of Industrial Relations,Stacey Sanders,3PCR - Complete Receipt,06/17/2024,$414.00
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4391&external=true&parentUrl=close,99SWC-NV23-15341:4391,G2B From Staples Advantage,Staples Advantage,Department of Human Services,Division of Child and Family Services,Merlita Phillips,3PS - Sent,06/18/2024,$443.77
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4392&external=true&parentUrl=close,99SWC-NV23-15341:4392,G2B From Staples Advantage,Staples Advantage,Department of Human Services,Division of Child and Family Services,Merlita Phillips,3PS - Sent,06/18/2024,$276.50
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4393&external=true&parentUrl=close,99SWC-NV23-15341:4393,G2B From Staples Advantage,Staples Advantage,Department of Human Services,Division of Child and Family Services,Merlita Phillips,3PS - Sent,06/18/2024,$121.21
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4394&external=true&parentUrl=close,99SWC-NV23-15341:4394,G2B From Staples Advantage,Staples Advantage,Public Utilities Commission,Public Utilities Commission,Dorothy Loucks,3PS - Sent,06/18/2024,$48.22
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4395&external=true&parentUrl=close,99SWC-NV23-15341:4395,TCC  Office Supplies G2B From Staples Advantage,Staples Advantage,Department of Conservation and Natural Resources,Forestry Division,Daniel Eason,3PCO - Closed,06/18/2024,$48.00
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4397&external=true&parentUrl=close,99SWC-NV23-15341:4397,G2B From Staples Advantage,Staples Advantage,Department of Business and Industry,Division of Industrial Relations,Sherry Bixler,3PCR - Complete Receipt,06/18/2024,$334.48
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4398&external=true&parentUrl=close,99SWC-NV23-15341:4398,06-18-2024 Staples Stock,Staples Advantage,Department of Human Services,Public and Behavioral Health,John Salvador,3PS - Sent,06/18/2024,$971.69
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4399&external=true&parentUrl=close,99SWC-NV23-15341:4399,G2B From Staples Advantage,Staples Advantage,Department of Business and Industry,Division of Industrial Relations,Joan Finlay,3PCR - Complete Receipt,06/18/2024,$81.52
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4400&external=true&parentUrl=close,99SWC-NV23-15341:4400,G2B From Staples Advantage,Staples Advantage,Department of Business and Industry,Division of Industrial Relations,Joan Finlay,3PPR - Partial Receipt,06/18/2024,$661.73
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4401&external=true&parentUrl=close,99SWC-NV23-15341:4401,G2B From Staples Advantage,Staples Advantage,"Department of Employment, Training and Rehabilitation",Nevada Equal Rights Commission,Erika Pfendler,3PS - Sent,06/20/2024,$580.43
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4402&external=true&parentUrl=close,99SWC-NV23-15341:4402,G2B From Staples Advantage,Staples Advantage,Public Utilities Commission,Public Utilities Commission,Dorothy Loucks,3PS - Sent,06/20/2024,$106.71
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4403&external=true&parentUrl=close,99SWC-NV23-15341:4403,admin supplies,Staples Advantage,Department of Corrections,Department of Corrections,Melanie Middleton,3PCR - Complete Receipt,06/20/2024,$300.87
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4404&external=true&parentUrl=close,99SWC-NV23-15341:4404,G2B From Staples Advantage,Staples Advantage,Commission on Ethics,Commission on Ethics,KARI ANNE PEDROZA,3PCR - Complete Receipt,06/20/2024,$185.81
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4405&external=true&parentUrl=close,99SWC-NV23-15341:4405,G2B From Staples Advantage,Staples Advantage,Department of Conservation and Natural Resources,Historic Preservation,Carolyn Furin,3PCR - Complete Receipt,06/20/2024,$163.04
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4406&external=true&parentUrl=close,99SWC-NV23-15341:4406,G2B From Staples Advantage,Staples Advantage,Department of Administration,Hearings and Appeals Division,Tasha Eaton,3PS - Sent,06/20/2024,$431.64
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4407&external=true&parentUrl=close,99SWC-NV23-15341:4407,G2B From Staples Advantage,Staples Advantage,Department of Corrections,Department of Corrections,Irma Carrera,3PCR - Complete Receipt,06/20/2024,$549.37
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV23-15341&releaseNbr=4408&external=true&parentUrl=close,99SWC-NV23-15341:4408,G2B From Staples Advantage,Staples Advantage,Colorado River Commission,Colorado River Commission,Gina Goodman,3PS - Sent,06/20/2024,$657.79
