PO #,PO #,Description,Vendor,Organization,Department,Buyer,Status,Sent Date,Total
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-17504&releaseNbr=32&external=true&parentUrl=close,PO #99SWC-NV24-17504:32,Google AI Enterprise agreement subscription,Carahsoft Technology Corporation,"Department of Employment, Training and Rehabilitation",Employment Security Division,Colleen Kiechler,3PS - Sent,07/22/2024,"$1,592,582.72"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-17504&releaseNbr=33&external=true&parentUrl=close,PO #99SWC-NV24-17504:33,Ahead - Hardware Licensing,"AHEAD, Inc.",Secretary of State's Office,Secretary of State's Office,Jennifer McKeehan,3PS - Sent,07/23/2024,"$74,581.92"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-17504&releaseNbr=34&external=true&parentUrl=close,PO #99SWC-NV24-17504:34,DETR R41487 - CARAHSOFT,Carahsoft Technology Corporation,"Department of Employment, Training and Rehabilitation",Employment Security Division,McKenna Higday,3PS - Sent,07/23/2024,"$2,778.17"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-17504&releaseNbr=35&external=true&parentUrl=close,PO #99SWC-NV24-17504:35,Carahsoft: Security operations standard/ ServiceNow instance,Carahsoft Technology Corporation,Department of Administration,OCIO,Jennifer Hunt,3PCR - Complete Receipt,07/24/2024,"$84,726.52"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-17504&releaseNbr=36&external=true&parentUrl=close,PO #99SWC-NV24-17504:36,DETR R32292 - CARAHSOFT,Carahsoft Technology Corporation,"Department of Employment, Training and Rehabilitation",Employment Security Division,McKenna Higday,3PS - Sent,07/29/2024,"$4,700.00"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-17504&releaseNbr=37&external=true&parentUrl=close,PO #99SWC-NV24-17504:37,Carahsoft - Smartsheets 2024,Carahsoft Technology Corporation,Secretary of State's Office,Secretary of State's Office,Jennifer McKeehan,3PS - Sent,07/30/2024,"$2,014.00"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-17504&releaseNbr=38&external=true&parentUrl=close,PO #99SWC-NV24-17504:38,Carahsoft - Smartsheets FY25,Carahsoft Technology Corporation,Secretary of State's Office,Secretary of State's Office,Jennifer McKeehan,3PS - Sent,07/31/2024,"$29,401.60"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-17504&releaseNbr=39&external=true&parentUrl=close,PO #99SWC-NV24-17504:39,Catalog Requisition,Carahsoft Technology Corporation,Department of Human Services,Division of Child and Family Services,Dyana Williford,3PS - Sent,07/31/2024,"$28,421.05"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-17504&releaseNbr=40&external=true&parentUrl=close,PO #99SWC-NV24-17504:40,CARAHSOFT,Carahsoft Technology Corporation,Department of Administration,"Nevada State Library, Archives and Public Records",Brittany Howe,3PCR - Complete Receipt,07/31/2024,"$3,663.12"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-17504&releaseNbr=41&external=true&parentUrl=close,PO #99SWC-NV24-17504:41,CARAHSOFT SERVICE AGREEMENT,Carahsoft Technology Corporation,"Department of Employment, Training and Rehabilitation",Employment Security Division,McKenna Higday,3PS - Sent,08/05/2024,"$46,914.90"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-17504&releaseNbr=42&external=true&parentUrl=close,PO #99SWC-NV24-17504:42,Carahsoft - Smartsheets - VREMS x5,Carahsoft Technology Corporation,Secretary of State's Office,Secretary of State's Office,Jennifer McKeehan,3PS - Sent,08/14/2024,"$3,292.55"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-17504&releaseNbr=43&external=true&parentUrl=close,PO #99SWC-NV24-17504:43,Dun & Bradstreet 1 yr renewal,Carahsoft Technology Corporation,Department of Administration,Purchasing Division,Heather Chavez,3PCR - Complete Receipt,08/26/2024,"$7,925.26"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-17504&releaseNbr=44&external=true&parentUrl=close,PO #99SWC-NV24-17504:44,DETR R44401 - CONVERGEONE,"Convergeone, Inc.","Department of Employment, Training and Rehabilitation",DETR Administrative Services,McKenna Higday,3PS - Sent,09/05/2024,"$51,203.39"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-17504&releaseNbr=45&external=true&parentUrl=close,PO #99SWC-NV24-17504:45,"Carahsoft Twilio Text Messaging feature part of LegalServer,",Carahsoft Technology Corporation,Department of Indigent Defense Services,Department of Indigent Defense Service,Andrew Blake,3PCR - Complete Receipt,09/11/2024,$409.00
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV24-17504&releaseNbr=46&external=true&parentUrl=close,PO #99SWC-NV24-17504:46,NV DMV Mainframe Assessment,Carahsoft Technology Corporation,Department of Motor Vehicles,Department of Motor Vehicles,Alan Mayoral-Ortiz,3PS - Sent,09/26/2024,"$120,008.14"
