PO #,PO #,Description,Vendor,Organization,Department,Buyer,Status,Sent Date,Total
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-24174&releaseNbr=104&external=true&parentUrl=close,PO #99SWC-NV25-24174:104,G2B #99SWC-NV25-24174 tower battery's,Grainger,Department of Corrections,Department of Corrections,Calleen Corrigan,3PCR - Complete Receipt,01/28/2025,$550.32
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-24174&releaseNbr=105&external=true&parentUrl=close,PO #99SWC-NV25-24174:105,G2B #99SWC-NV25-24174,Grainger,Department of Corrections,Department of Corrections,Anthony Quillmann,3PCR - Complete Receipt,01/28/2025,$903.26
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-24174&releaseNbr=106&external=true&parentUrl=close,PO #99SWC-NV25-24174:106,"G2B #99SWC-NV25-24174 GFI's, plugs",Grainger,Department of Corrections,Department of Corrections,Calleen Corrigan,3PCR - Complete Receipt,01/28/2025,$981.50
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-24174&releaseNbr=107&external=true&parentUrl=close,PO #99SWC-NV25-24174:107,G2B #99SWC-NV25-24174,Grainger,Department of Human Services,Aging and Disability Services Division,Miguel Martinez,3PCR - Complete Receipt,01/28/2025,"$3,465.32"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-24174&releaseNbr=108&external=true&parentUrl=close,PO #99SWC-NV25-24174:108,3717 HVAC bearings,Grainger,Department of Corrections,Department of Corrections,Jessica Brendel,3PCR - Complete Receipt,01/29/2025,$401.22
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-24174&releaseNbr=109&external=true&parentUrl=close,PO #99SWC-NV25-24174:109,G2B #99SWC-NV25-24174,Grainger,Department of Conservation and Natural Resources,Parks Division,Ethan Mower,3PS - Sent,01/29/2025,$852.13
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-24174&releaseNbr=110&external=true&parentUrl=close,PO #99SWC-NV25-24174:110,Relay for NSLA,Grainger,Department of Administration,State Public Works Division,Danielle Sallee,3PCR - Complete Receipt,01/29/2025,$609.24
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-24174&releaseNbr=111&external=true&parentUrl=close,PO #99SWC-NV25-24174:111,Christy Klinger - Grainger order for Key Pittman Pond Liner Install,Grainger,Department of Wildlife,Department of Wildlife,Marisa Peters,3PS - Sent,01/29/2025,$221.56
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-24174&releaseNbr=112&external=true&parentUrl=close,PO #99SWC-NV25-24174:112,01/30/2025 Grainger Custodial Stock 1,Grainger,Department of Human Services,Public and Behavioral Health,John Salvador,3PS - Sent,01/30/2025,"$4,866.98"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-24174&releaseNbr=113&external=true&parentUrl=close,PO #99SWC-NV25-24174:113,01-30-2025 Grainger Custodial Stock 2,Grainger,Department of Human Services,Public and Behavioral Health,John Salvador,3PS - Sent,01/30/2025,"$4,356.64"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-24174&releaseNbr=114&external=true&parentUrl=close,PO #99SWC-NV25-24174:114,Required items Needed for Road Troopers G2B #99SWC-NV25-24174,Grainger,Department of Public Safety,Nevada Highway Patrol,Betsy Gillett,3PS - Sent,01/30/2025,$541.24
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-24174&releaseNbr=115&external=true&parentUrl=close,PO #99SWC-NV25-24174:115,G2B #99SWC-NV25-24174,Grainger,Department of Human Services,Division of Child and Family Services,Glenda Garcia,3PS - Sent,01/31/2025,$494.84
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-24174&releaseNbr=116&external=true&parentUrl=close,PO #99SWC-NV25-24174:116,3759-Items for Culinary Department,Grainger,Department of Corrections,Department of Corrections,Wendy Mello,3PCR - Complete Receipt,01/31/2025,"$2,361.89"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-24174&releaseNbr=117&external=true&parentUrl=close,PO #99SWC-NV25-24174:117,02/03/2025 Grainger Maintenance Ice Machine Filters,Grainger,Department of Human Services,Public and Behavioral Health,John Salvador,3PS - Sent,02/03/2025,$537.20
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-24174&releaseNbr=118&external=true&parentUrl=close,PO #99SWC-NV25-24174:118,leaking toilets and shower repair parts,Grainger,Department of Corrections,Department of Corrections,Joshua Hayden,3PCR - Complete Receipt,02/03/2025,"$3,022.05"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-24174&releaseNbr=119&external=true&parentUrl=close,PO #99SWC-NV25-24174:119,G2B #99SWC-NV25-24174,Grainger,Department of Corrections,Department of Corrections,Lisa Johnson,3PCR - Complete Receipt,02/03/2025,$146.54
